te,sr,ev,ws,rl,sh,rel
9.1,14.8,2.5,3.8,76.4,6.1,88
9,12.7,2.1,3.6,408.6,6.1,83
7.2,12.3,1.9,3.4,348.5,5.5,86
6.1,10.6,1.1,2.4,388.5,3,90
5.1,12.7,1.3,3,234,2.1,89
6.6,11.8,1.6,3.7,349.4,3.8,86
7.7,13.8,1.8,3.2,227.9,4.5,84
9.5,14.1,2.5,2.4,56.8,6.8,75
11.6,14.6,3.2,2.6,26,6,78
19,14.5,5.4,4.1,6.9,5.4,78
11.8,14,4.1,4.3,17.1,6.4,76
9.9,14.5,3.3,4,183.9,3.7,79
8.9,14.6,2.4,3.3,84.5,5,83
8.6,10.9,1.5,3.4,172.5,5.6,82
7.2,10.9,1.6,2.7,255.4,4.6,86
6,10.4,0.9,2.3,776.7,2.8,91
5.8,12.5,1.2,3.3,339.8,2.3,90
7.2,11.5,1.5,2.9,393.2,2.9,90
8.5,13.4,1.9,3.5,306.6,5.5,85
8.9,14,2.2,2.2,60.6,6.6,76
10.2,14.9,2.9,2.1,42.2,5,77
11.3,14.4,3.6,3.7,16.1,5.8,68
12,14,3.8,3.5,18.4,7.2,77
9.7,14.3,2.7,3.9,120.7,5.6,83
9.4,13.5,6,3.6,66.5,6,81
9,12.6,2,2.5,310.1,5.6,74
7.5,7.5,1.7,2.5,230.4,4.9,86
5.5,8.3,1.1,1.5,375.3,2.7,94
5.3,7.5,1.3,2.9,281.7,2.9,85
6.3,8.4,1.5,2.2,359.3,3.9,88
7.7,9.8,1.3,2,431.7,5.9,85
7.8,10.8,1.3,1.5,212.1,6.6,79
12.3,13.1,3.3,1.7,79.6,5.7,70
7.8,12.9,3.8,2.4,15.6,5.7,81
4.7,12.7,2.9,4,118.3,4.7,81
9.5,13.7,2.7,3.5,120.1,4.5,81
8.5,10.9,2.2,2.5,362.5,5.4,84
7.8,11.8,1.9,2.5,246.6,4.7,85
6.2,8.9,1.3,2.2,398.7,2.1,89
6.4,8.2,1.2,2.5,333.6,1.5,88
6.9,9.5,1.7,2.6,319.6,2.9,87
6.7,10.2,1.9,2.1,413.1,4.2,86
9.9,12.9,2.4,1.3,29.6,5.6,84
10,13.8,2.3,1.2,53.6,5.9,86
10.4,16.2,2.8,2.1,130.4,5.3,84
8.7,13.2,2.3,2.2,113.9,4.1,85
9.2,12.9,2.3,2.5,320.9,5.2,84
8.6,14.4,2.1,2.3,373.6,4.3,83
7.3,10.1,1.8,2.2,160.5,4.6,86
6.9,7.9,1.9,2.1,241.3,3.9,87
5.8,7.3,1.6,2.9,299.4,3.5,89
6.1,10.9,1.3,3.1,478,3.2,85
7.8,11.3,1.8,2.5,272.8,4.4,88
10.2,13.7,3.5,2,22.8,5,88
10.1,15.4,3.2,1.6,5.9,5.5,84
14.1,15,8.1,2.5,120.6,5.2,65
10,13.6,4,2.9,93.2,4.3,80
8.6,13,2.9,2.9,112.9,5.5,83
8.3,12.6,2,2.6,195.6,4.4,83
6.4,10.1,1.7,2.8,392.5,4.6,88
6.7,7.8,1.8,3.5,182.7,2.7,89
5.7,8.1,1.6,3.9,129.5,1.7,88
6.1,11.8,1.9,3.5,221.3,2.8,87
8,14.8,2.1,3,294,2.3,85
8.5,12.8,1.9,2.3,148,3.3,85
10,13.5,2.9,1.6,33.9,5.4,81
12.2,13.4,5.4,2.7,22.6,5.6,65
9.1,15.3,5.1,2.6,36.9,2,79
10.4,14.1,5.2,2.9,87.6,4.7,74
9.2,13.7,3.3,4.2,188,3.3,80
9,12.9,3.9,4.4,279.1,4.2,82
7.6,11.5,2.2,3.8,414.6,2.6,86
6.7,7.9,1.6,4,369.8,2.9,88
6.5,8.8,2,4.6,247.3,2.4,86
6.5,9.1,1.5,3.8,489.1,2.2,87
7.7,10.2,2.1,3.3,265.4,2.5,85
8.8,11.5,2.3,2.3,136.7,2.9,83
9,12.8,3.2,2.1,32,5.3,82
10.4,11.4,3.7,2.9,40.9,1.5,78
8,13.4,2.8,3.3,52.1,2.4,85
9.5,11.3,2.9,3.7,106.6,2.5,83
8.6,11.9,2.5,3.6,186.4,4.7,82
9,11,2.3,3.7,291.6,4.4,82
8.2,10.5,2,3.4,232.9,2.6,86
7.9,7.8,1.6,3.4,294.1,1.7,87
7,9.7,1.9,4,257.4,2.9,86
7.5,10.6,1.2,3.2,453.5,4.1,89
6.9,10.8,1.3,2.9,510.6,4.6,86
8.3,13.4,1.8,3.7,73.5,5.3,84
10.6,11.9,3.7,3.6,11.6,4.6,79
12.6,12.4,6.6,4.4,7.2,4.7,57
11.2,11.8,4.4,3.3,59.2,4.1,75
10.2,11.5,2.8,3.5,190.2,5.4,81
9.3,10.7,2.4,3.4,202.3,5,83
8,9.4,1.7,3.9,181.5,3.8,56
6.7,8.3,1.5,3.3,420.4,2.3,87
6.2,6.8,1.7,4.5,245.4,3.1,89
6.9,7.7,1.4,3.3,454.9,5.4,87
7.7,8.9,1.7,2.9,153.1,5,85
9,13.1,1.9,3.5,51.6,5.7,85
12,11.2,4.3,2.5,16.9,6,74
18.4,11.7,4.5,4.1,31.3,4,79
16.7,11.9,5.5,4.5,2.4,4,41
10.3,10.3,2.9,4.3,152.7,3.4,81
7,11.3,2.5,3.6,118.2,3.3,83
5.4,10.1,2.1,3.7,314.7,5.3,85
5.3,6.9,1.9,2.9,245.2,2.5,87
6.2,7.1,1.9,2.2,336.9,1.3,87
5.1,6.2,1.3,3.3,309.9,3.1,89
6,7.8,1.7,2.3,365.3,3.2,87
7.3,9.5,1.8,1,137.2,4,86
11.1,9.2,2.1,1.7,108.1,6.2,84
14.7,10.5,2.9,2.2,28.1,5,85
