tb
8
12
15
6
12
13
14
9
12
11
11
13
6
10
8
7
9
4
9
11
12
16
14
17
8
15
12
14
3
9
11
18
13
16
21
16
5
9
11
13
5
11
8
11
17
10
16
20
16
18
11
14
16
11
15
21
27
18
31
33
14
16
14
12
18
15
17
18
22
25
29
33
11
15
14
11
15
10
11
15
12
11
18
19
22
14
11
12
16
11
5
13
23
24
26
19
11
16
15
11
13
18
14
11
22
23
29
24
11
13
9
11
12
11
19
25
31
25
29
18
